book,time,side,price,volume,role,fee
0,00:11:00.021,SELL,298.83,0.2999,TAKER,0.0206123969
0,00:11:01.020,SELL,298.83,0.1299,TAKER,0.0089281439
0,00:11:02.027,SELL,298.83,0.2403,TAKER,0.0165160352
1,00:10:31.021,BUY,299.86,0.0862,TAKER,0.0059450243
1,00:10:32.020,BUY,300.1,0.2999,TAKER,0.0206999977
1,00:10:33.020,BUY,300.1,0.2999,TAKER,0.0206999977
1,00:29:17.023,BUY,301.26,0.0399,TAKER,-0.0789898817
2,00:10:54.021,SELL,299.69,0.2999,TAKER,0.0206717171
2,00:10:55.020,SELL,299.69,0.0126,TAKER,0.0008685016
2,00:16:09.026,SELL,302.75,0.086,TAKER,-0.0348450488
3,01:16:35.039,SELL,305.13,0.1513,TAKER,-0.0126154519
3,01:16:36.046,BUY,305.28,0.2998,TAKER,-0.0272180444
3,01:16:37.041,BUY,305.28,0.2999,TAKER,-0.0265267791
3,01:16:38.023,SELL,305.12,0.16836535,TAKER,-0.0124968044
3,01:27:23.018,SELL,305.32,0.0499,TAKER,-0.0094707784
3,01:27:24.018,BUY,305.37,0.2998,TAKER,-0.0564407149
3,01:27:25.018,BUY,305.37,0.2999,TAKER,-0.0553333881
3,01:27:26.018,SELL,304.75,0.0498,TAKER,-0.0089905421
3,01:29:10.021,SELL,304.39,0.2947450002,TAKER,-0.0920213808
3,01:29:11.018,BUY,304.78,0.2997,TAKER,-0.0988717107
3,01:29:12.018,BUY,304.78,0.2999,TAKER,-0.0914621523
3,01:29:13.018,SELL,304.37,0.2998,TAKER,-0.0803674625
3,01:31:53.017,BUY,305.62,0.1996,TAKER,-0.0065113815
3,01:31:54.017,BUY,305.66,0.2998,TAKER,-0.010449092
3,01:31:55.020,BUY,305.67,0.0013,TAKER,-0.0000513766
3,01:31:56.017,SELL,305.62,0.0017,TAKER,-0.0000406514
3,01:32:01.017,SELL,305.76,0.2999,TAKER,-0.0071444243
3,01:32:02.017,BUY,305.85,0.2998,TAKER,-0.0070127397
3,01:33:08.018,SELL,306.06,0.0452,TAKER,-0.0035443986
3,01:33:08.018,SELL,306.06,0.25,TAKER,-0.0196844244
3,01:33:09.018,SELL,306.06,0.0559,TAKER,-0.0044059812
3,01:33:09.018,SELL,306.06,0.0559,TAKER,-0.0044059812
3,01:33:14.018,SELL,306.06,0.2237,TAKER,-0.0223300229
3,01:33:15.021,SELL,306.06,0.1102,TAKER,-0.011604824
3,01:33:16.018,BUY,306.24,0.2998,TAKER,-0.0323108837
3,01:33:52.018,BUY,306.56,0.0943,TAKER,-0.0277193696
3,01:33:58.017,BUY,306.58,0.2195,TAKER,-0.0834369725
3,01:33:59.017,SELL,306,0.1365749999,TAKER,-0.0556560311
3,01:34:08.018,SELL,306,0.0482,TAKER,-0.0200080501
3,01:34:09.018,BUY,306.5,0.00059999985,TAKER,-0.0002781801
3,01:34:11.018,SELL,306,0.1266,TAKER,-0.0645622058
3,01:34:12.018,SELL,306,0.2659,TAKER,-0.1426875051
3,01:34:13.018,BUY,306.48,0.2193,TAKER,-0.0672556337
3,01:34:13.018,BUY,306.48,0.2193,TAKER,-0.0672556337
3,01:34:50.017,BUY,306.38,0.2396,TAKER,-0.0467377028
3,01:34:51.018,SELL,306,0.1766421501,TAKER,-0.0356810334
3,01:38:21.018,SELL,305.93,0.1668,TAKER,-0.0435315986
3,01:38:22.018,BUY,306.43,0.2998,TAKER,-0.0781372317
3,01:40:29.017,BUY,306.25,0.1497,TAKER,-0.033458586
3,01:40:30.017,SELL,305.75,0.1593441601,TAKER,-0.0348412973
3,01:40:30.017,SELL,305.75,0.1404558399,TAKER,-0.032380731
3,01:41:31.018,SELL,305.74,0.1996,TAKER,-0.0413213009
3,01:41:32.017,BUY,306.37,0.2997,TAKER,-0.0620901727
3,01:41:41.018,SELL,305.74,0.1493,TAKER,-0.0294390701
3,01:41:42.018,SELL,306,0.2999,TAKER,-0.0610092388
3,01:41:43.018,BUY,306.41,0.1505,TAKER,-0.0322888879
3,01:43:17.017,BUY,306.92,0.2999,TAKER,-0.0427787173
3,01:43:18.018,SELL,306.75,0.0337,TAKER,-0.0049166415
3,01:43:32.018,SELL,307.06,0.275,TAKER,-0.0427142024
3,01:43:33.017,BUY,307.44,0.2998,TAKER,-0.0465374933
3,01:44:26.017,BUY,307.81,0.2999,TAKER,-0.0443453117
3,01:44:27.017,SELL,307.62,0.0284,TAKER,-0.004209861
3,01:44:43.021,SELL,307.81,0.2999,TAKER,-0.0366274295
3,01:44:44.017,BUY,308.06,0.2998,TAKER,-0.0373210791
3,01:44:45.017,BUY,307.93,0.2999,TAKER,-0.0375630188
3,01:44:46.018,SELL,307.81,0.1468,TAKER,-0.018380499
3,01:45:40.018,SELL,307.69,0.112,TAKER,-0.0124997138
3,01:45:41.018,SELL,307.69,0.1127,TAKER,-0.0127377555
3,01:45:41.018,SELL,307.69,0.1127,TAKER,-0.0127377555
3,01:45:42.018,BUY,308.08,0.0497,TAKER,-0.0055379403
