book,time,side,price,volume,role,fee
0,07:04:35.029,SELL,299.29,0.2999,TAKER,-0.1415906135
0,07:04:36.030,BUY,299.41,0.1654,TAKER,-0.0781849043
0,07:04:37.028,BUY,299.41,0.1652,TAKER,-0.0784102018
1,07:30:22.029,SELL,311.12,0.25,TAKER,-0.0705786889
1,07:30:22.029,SELL,311.12,0.25,TAKER,-0.0705786889
1,07:30:23.031,BUY,311.58,0.2931,TAKER,-0.0834031277
1,07:30:23.031,BUY,311.58,0.2931,TAKER,-0.0834031277
1,07:30:24.030,BUY,311.58,0.0069,TAKER,-0.0019652693
2,08:10:47.034,BUY,328.31,0.0003,TAKER,-0.000102718
2,08:10:48.091,BUY,328.31,0.2999,TAKER,-0.1019838248
2,08:10:49.035,SELL,327.66,0.2995,TAKER,-0.1011619805
2,08:11:17.032,SELL,327.25,0.2998,TAKER,-0.1124942469
2,08:11:18.029,SELL,327.25,0.1555,TAKER,-0.0569691108
2,08:11:19.034,BUY,327.91,0.2496,TAKER,-0.0913064403
2,08:11:27.092,BUY,327.72,0.2997,TAKER,-0.1090534277
2,08:11:28.093,BUY,327.72,0.2997,TAKER,-0.1089312917
2,08:11:29.405,SELL,326.82,0.1729,TAKER,-0.0636270549
2,08:11:30.034,SELL,326.85,0.2999,TAKER,-0.0998482839
2,08:11:31.094,BUY,327.62,0.2998,TAKER,-0.0923197574
2,08:12:32.042,BUY,327.12,0.2794,TAKER,-0.1117376111
2,08:12:33.030,BUY,327.41,0.2999,TAKER,-0.1215404551
2,08:12:34.036,SELL,326.5,0.2394,TAKER,-0.0929140067
2,08:12:47.092,BUY,326.97,0.0002,TAKER,-0.00007668
2,08:12:48.027,SELL,326.31,0.0438,TAKER,-0.0169507439
2,08:12:49.064,SELL,326.36,0.2999,TAKER,-0.1190148201
2,08:12:53.035,SELL,326.27,0.2999,TAKER,-0.0536136061
2,08:12:54.038,BUY,326.32,0.2998,TAKER,-0.0138854629
2,08:12:54.038,BUY,326.32,0.2998,TAKER,-0.0138854629
2,08:12:55.041,BUY,326.31,0.0499,TAKER,-0.0013201456
