book,time,side,price,volume,role,fee
0,12:19:57.023,SELL,263.49,0.1003,TAKER,0.0048891657
0,12:20:02.037,BUY,263.5,0.25,TAKER,0.00863307
0,12:20:17.026,SELL,263.38,0.2999,TAKER,0.0180303
0,12:20:46.021,BUY,263.42,0.2999,TAKER,0.0171462617
0,12:20:56.043,SELL,263.38,0.2999,TAKER,0.0176057442
0,12:21:16.067,BUY,263.49,0.181,TAKER,0.0108700639
0,12:21:41.029,SELL,263.37,0.2101,TAKER,0.0037755747
0,12:21:50.044,BUY,263.43,0.2999,TAKER,-0.0042972919
0,12:21:55.031,SELL,263.3,0.2999,TAKER,0.0129686787
0,12:22:04.087,BUY,263.49,0.0431,TAKER,0.0019796016
0,12:22:10.042,SELL,263.31,0.2999,TAKER,0.0160551451
0,12:22:15.020,BUY,263.36,0.1201,TAKER,0.0045489376
0,12:22:29.039,SELL,263.31,0.0096,TAKER,0.0004689596
0,12:22:34.025,BUY,263.6,0.2999,TAKER,0.0168623535
0,12:22:49.026,SELL,263.31,0.001,TAKER,0.0000563505
0,12:23:05.039,BUY,263.49,0.2999,TAKER,-0.0022600873
0,12:23:09.024,SELL,263.29,0.1938,TAKER,0.0086772607
0,12:23:14.037,BUY,263.5,0.2999,TAKER,0.0160071151
0,12:23:34.115,SELL,263.37,0.2999,TAKER,0.0141268505
0,12:23:50.023,BUY,263.62,0.2999,TAKER,-0.0139723427
0,12:23:54.039,SELL,263.25,0.2999,TAKER,0.0115462581
0,12:24:14.033,BUY,263.36,0.1502,TAKER,0.0061430511
0,12:24:19.065,SELL,263.31,0.25,TAKER,-0.0022909687
0,12:24:38.024,BUY,263.47,0.0123,TAKER,0.0006751695
0,12:24:43.099,SELL,263.25,0.2331,TAKER,0.0128159273
0,12:24:58.067,BUY,263.47,0.2999,TAKER,0.0151129072
0,12:25:17.044,SELL,263.17,0.1492,TAKER,0.0088308202
0,12:25:31.035,BUY,263.24,0.2999,TAKER,0.0180805891
0,12:25:42.054,SELL,263.12,0.2738,TAKER,0.0130215939
0,12:25:46.036,BUY,263.21,0.0016,TAKER,0.0000755113
0,12:25:56.018,SELL,263.07,0.2999,TAKER,0.009435397
0,12:26:01.038,BUY,263.47,0.2999,TAKER,0.0007384083
0,12:26:40.019,SELL,263.12,0.1615,TAKER,0.0113010775
