book,time,side,price,volume,role,fee
0,08:08:51.035,BUY,334.63,0.2877,MAKER,0.1079947684
0,08:09:02.052,BUY,334.61,0.2999,MAKER,0.0994772006
0,08:09:07.013,BUY,334.6,0.2762,MAKER,0.0871123654
0,08:09:08.038,BUY,334.6,0.0237,MAKER,0.0074661253
0,08:09:58.423,BUY,334.44,0.2999,MAKER,0.0219204101
0,08:10:01.041,SELL,334.89,0.2999,MAKER,0.0500680967
0,08:10:02.056,BUY,334.24,0.2999,MAKER,0.0498863467
0,08:10:32.040,SELL,334.82,0.2999,MAKER,0.0638222162
0,08:10:41.027,SELL,334.81,0.1001,MAKER,0.0209728464
0,08:10:42.021,SELL,334.81,0.1998,MAKER,0.0418618636
0,08:10:53.036,SELL,334.81,0.1104,MAKER,0.0225608661
0,08:10:53.058,SELL,334.81,0.1895,MAKER,0.0383014766
0,08:11:02.297,BUY,334.13,0.2999,MAKER,0.0598296252
0,08:11:05.058,BUY,334.11,0.2999,MAKER,0.0591715885
0,08:11:06.043,SELL,334.76,0.2999,MAKER,0.0583883463
0,08:11:13.042,BUY,334.1,0.0348,MAKER,0.0067409781
0,08:11:15.020,BUY,334.1,0.2651,MAKER,0.0513516206
0,08:11:32.110,SELL,334.74,0.2149,MAKER,0.02777314
0,08:11:33.019,SELL,334.74,0.085,MAKER,0.0109851913
0,08:11:52.041,SELL,334.7,0.0005,MAKER,0.000057326
0,08:11:58.044,SELL,334.69,0.2999,MAKER,0.0273653926
0,08:12:00.989,BUY,334.04,0.2999,MAKER,0.0251020993
0,08:12:12.140,SELL,334.5,0.0135,MAKER,0.0027219152
0,08:12:13.019,SELL,334.5,0.2864,MAKER,0.0577449279
0,08:12:13.019,SELL,334.5,0.2864,MAKER,0.0577449279
0,08:12:20.655,BUY,333.83,0.2999,MAKER,0.0636354024
0,08:12:21.021,SELL,334.5,0.1749,MAKER,0.0462273706
0,08:12:33.020,BUY,333.82,0.2714500001,MAKER,0.0764181321
0,08:12:33.026,BUY,333.82,0.0284499999,MAKER,0.0080091945
0,08:12:33.026,BUY,333.82,0.0284499999,MAKER,0.0080091945
0,08:12:42.091,SELL,334.44,0.2999,MAKER,0.0834501352
0,08:12:57.017,SELL,334.43,0.2624,MAKER,0.0778592869
0,08:12:57.023,SELL,334.43,0.0375,MAKER,0.0111269941
0,08:13:08.113,SELL,334.39,0.1098,MAKER,0.0349685033
0,08:13:08.113,SELL,334.39,0.1098,MAKER,0.0349685033
0,08:13:08.165,SELL,334.39,0.1901,MAKER,0.0605420081
0,08:13:14.039,SELL,334.43,0.2999,MAKER,0.1177078059
0,08:13:14.039,SELL,334.43,0.2999,MAKER,0.1177078059
0,08:13:14.118,BUY,333.77,0.2999,MAKER,0.1170901798
0,08:13:18.053,SELL,334.42,0.2999,MAKER,0.0795986481
0,08:13:31.025,SELL,334.37,0.0247,MAKER,0.0067756756
0,08:13:31.337,SELL,334.37,0.2752,MAKER,0.0754926269
0,08:14:05.056,SELL,334.37,0.2999,MAKER,0.0646798317
0,08:14:35.364,SELL,334.37,0.2999,MAKER,0.0474843237
0,08:14:53.043,SELL,334.33,0.0227,MAKER,0.0049715035
0,08:14:53.074,SELL,334.33,0.2772,MAKER,0.060709286
0,08:15:02.022,SELL,334.31,0.0798,MAKER,0.0173393552
0,08:15:02.023,SELL,334.31,0.2201,MAKER,0.0478244622
0,08:15:11.249,BUY,333.72,0.2999,MAKER,0.0639717763
0,08:15:27.081,BUY,333.56,0.2897,MAKER,0.0907023484
0,08:15:27.089,BUY,333.56,0.0102,MAKER,0.0031935241
0,08:15:51.243,SELL,334.04,0.0998,MAKER,0.0439001993
0,08:15:52.052,BUY,333.37,0.2599,MAKER,0.1133982524
0,08:15:52.052,BUY,333.37,0.04,MAKER,0.0174525975
0,08:15:58.019,BUY,333.36,0.1147,MAKER,0.0360276669
0,08:15:59.012,BUY,333.36,0.1852,MAKER,0.0582045559
0,08:16:02.311,SELL,334,0.0012,MAKER,0.0003698944
0,08:16:03.421,BUY,333.33,0.2999,MAKER,0.0918464392
0,08:16:05.059,SELL,333.88,0.2999,MAKER,0.1115638006
0,08:16:07.012,BUY,333.22,0.2997,MAKER,0.1104777668
0,08:16:07.013,BUY,333.22,0.0002,MAKER,0.0000737255
0,08:16:10.054,SELL,333.87,0.2999,MAKER,0.1101131408
0,08:16:13.134,SELL,333.87,0.2999,MAKER,0.0767726838
0,08:16:35.038,SELL,333.72,0.2999,MAKER,0.099854413
0,08:16:40.153,SELL,333.72,0.2999,MAKER,0.0984090005
0,08:16:43.070,BUY,333.06,0.0681,MAKER,0.0209922766
0,08:16:43.083,BUY,333.06,0.2318,MAKER,0.0714538874
0,08:16:47.034,SELL,333.72,0.2999,MAKER,0.0934961532
0,08:16:58.725,SELL,333.93,0.2999,MAKER,0.079882591
0,08:16:59.888,BUY,333.25,0.2999,MAKER,0.094754882
0,08:17:03.043,SELL,333.93,0.2999,MAKER,0.1129179597
0,08:17:03.150,BUY,333.27,0.2999,MAKER,0.1120996997
0,08:17:05.055,BUY,333.14,0.2999,MAKER,0.1254696168
0,08:17:05.097,SELL,333.81,0.2999,MAKER,0.1256542591
0,08:17:30.067,BUY,333.39,0.26,MAKER,0.1205818242
0,08:17:30.070,BUY,333.39,0.0399,MAKER,0.0185046722
0,08:17:30.076,SELL,334.06,0.2798,MAKER,0.1288222631
0,08:17:30.155,SELL,334.06,0.0201,MAKER,0.0085579093
0,08:17:33.390,SELL,333.76,0.2999,MAKER,0.1118497585
0,08:17:36.037,SELL,333.75,0.2999,MAKER,0.1192926258
0,08:17:36.263,BUY,333.1,0.2999,MAKER,0.1150501251
0,08:17:42.020,SELL,333.62,0.15,MAKER,0.0482237378
0,08:17:42.030,SELL,333.62,0.1499,MAKER,0.0481915886
0,08:17:43.312,BUY,332.97,0.2999,MAKER,0.0862087208
0,08:17:48.024,SELL,333.35,0.0399,MAKER,0.013254966
0,08:17:48.025,SELL,333.35,0.26,MAKER,0.0863732123
0,08:17:48.999,BUY,332.68,0.2999,MAKER,0.0994341725
