book,time,side,price,volume,role,fee
0,07:24:07.015,BUY,350.39,0.2233,TAKER,-0.0258787184
0,07:24:07.015,BUY,350.39,0.2233,TAKER,-0.0258787184
0,07:24:14.015,SELL,350.18,0.0499,TAKER,-0.005764825
0,07:24:14.015,SELL,350.18,0.0499,TAKER,-0.005764825
0,07:24:15.015,BUY,350.48,0.2999,TAKER,-0.0348089923
0,07:24:15.015,BUY,350.48,0.2999,TAKER,-0.0348089923
1,07:23:45.015,BUY,376.18,0.0399,TAKER,-0.0044141845
1,07:24:13.015,BUY,376.12,0.0775,TAKER,-0.0034330872
1,07:24:13.015,BUY,376.12,0.0775,TAKER,-0.0034330872
1,07:24:14.015,SELL,375.37,0.052825,TAKER,-0.0039484684
1,07:24:14.015,SELL,375.37,0.052825,TAKER,-0.0039484684
2,07:24:06.015,SELL,324.49,0.1321,TAKER,-0.0071709173
2,07:24:06.015,SELL,324.49,0.1677,TAKER,-0.0090948257
2,07:24:20.015,SELL,324.41,0.2999,TAKER,-0.0105096226
2,07:24:20.015,SELL,324.41,0.2999,TAKER,-0.0105096226
2,07:24:21.015,BUY,324.62,0.0498,TAKER,-0.0024124744
3,07:23:17.015,SELL,327.24,0.1,TAKER,-0.0057292882
3,07:23:17.015,SELL,327.24,0.1,TAKER,-0.0057292882
3,07:23:22.015,SELL,327.25,0.041125,TAKER,-0.0022380185
3,07:23:23.015,BUY,327.47,0.2997,TAKER,-0.01532796
4,07:24:06.015,BUY,374.31,0.118,TAKER,-0.0035300986
4,07:24:06.015,BUY,374.31,0.1818,TAKER,-0.0054387452
4,07:24:14.015,BUY,374.31,0.0894000001,TAKER,-0.0009239745
4,07:24:14.015,BUY,374.31,0.0894000001,TAKER,-0.0009239745
4,07:24:15.015,SELL,374.3,0.2998,TAKER,-0.003098436
4,07:24:15.015,SELL,374.3,0.2998,TAKER,-0.003098436
5,07:24:23.015,BUY,318.45,0.0775,TAKER,-0.0091032796
5,07:24:24.015,SELL,318.26,0.166,TAKER,-0.0203699986
5,07:24:25.015,BUY,318.42,0.2279,TAKER,-0.0280180905
6,07:24:32.015,SELL,308.61,0.2998,TAKER,-0.0335834776
6,07:24:34.015,SELL,308.5,0.04,TAKER,-0.0044666069
6,07:24:34.015,SELL,308.5,0.2599,TAKER,-0.0290217786
6,07:24:35.015,BUY,308.91,0.0746,TAKER,-0.0085918231
6,07:24:35.015,BUY,308.91,0.0746,TAKER,-0.0085918231
7,07:22:25.015,BUY,335.36,0.0699,TAKER,-0.0036449419
7,07:22:26.015,SELL,335.31,0.2998,TAKER,-0.0156307677
7,07:22:27.015,SELL,335.31,0.2999,TAKER,-0.0143331304
7,07:22:28.015,BUY,335.32,0.2998,TAKER,-0.0137620339
7,07:22:28.015,BUY,335.32,0.2998,TAKER,-0.0137620339
8,07:24:01.015,BUY,306.89,0.1502,TAKER,-0.0085641681
8,07:24:06.015,BUY,306.81,0.25,TAKER,-0.0132702988
8,07:24:06.015,BUY,306.81,0.25,TAKER,-0.0132702988
8,07:24:07.015,SELL,306.81,0.2997,TAKER,-0.0148605655
8,07:24:07.015,SELL,306.81,0.2997,TAKER,-0.0148605655
9,07:23:09.015,BUY,321.17,0.25,TAKER,-0.0236293738
9,07:23:44.015,BUY,322.16,0.0346,TAKER,-0.0034754583
9,07:23:45.015,SELL,322.12,0.0993,TAKER,-0.010283573
10,07:24:17.015,SELL,372.13,0.0252,TAKER,-0.0050397366
10,07:24:17.015,SELL,372.13,0.0252,TAKER,-0.0050397366
10,07:24:18.015,BUY,372.62,0.2998,TAKER,-0.0620768891
10,07:24:18.015,BUY,372.62,0.2998,TAKER,-0.0620768891
10,07:24:31.015,SELL,372.25,0.0499,TAKER,-0.0117626994
10,07:24:32.015,BUY,372.74,0.2998,TAKER,-0.0704164682
11,06:58:50.015,SELL,299.56,0.2999,TAKER,-0.1206550866
