book,time,side,price,volume,role,fee
0,06:12:06.182,SELL,322.43,0.1001,MAKER,0.0267325303
0,06:12:06.182,SELL,322.43,0.1001,MAKER,0.0267325303
0,06:12:06.214,SELL,322.43,0.1998,MAKER,0.0533380087
0,06:12:51.316,SELL,322.43,0.1232,MAKER,0.0212307843
0,06:12:52.065,SELL,322.43,0.1767,MAKER,0.0304455529
0,06:12:52.065,SELL,322.43,0.1767,MAKER,0.0304455529
0,06:12:58.088,BUY,321.97,0.2999,MAKER,0.0500268501
1,06:00:29.175,SELL,326.04,0.25,MAKER,0.112220642
1,06:00:29.189,SELL,326.04,0.0499,MAKER,0.0223992401
1,06:00:30.999,SELL,326.04,0.0504,MAKER,0.0229377939
1,06:00:31.011,SELL,326.04,0.2495,MAKER,0.1135511765
1,06:00:31.168,BUY,325.38,0.2999,MAKER,0.1369998781
2,05:42:47.055,SELL,336.56,0.0598,MAKER,0.0172328051
2,05:42:48.365,BUY,335.88,0.0725,MAKER,0.0201651392
2,05:42:50.030,BUY,335.88,0.0214,MAKER,0.0056996712
2,05:42:50.030,BUY,335.88,0.0214,MAKER,0.0056996712
2,05:42:50.032,BUY,335.88,0.206,MAKER,0.0548659946
2,05:43:01.277,BUY,335.93,0.2999,MAKER,0.0780030431
3,05:27:47.029,SELL,347.43,0.2798,MAKER,0.0770955397
3,05:27:48.138,SELL,347.43,0.2999,MAKER,0.0825483316
3,05:27:50.643,BUY,346.73,0.2999,MAKER,0.0830852128
3,05:27:53.026,BUY,346.68,0.2999,MAKER,0.0795615142
3,05:27:53.044,SELL,347.37,0.2999,MAKER,0.0797198661
4,06:01:08.748,BUY,326.73,0.2999,MAKER,0.0943718038
4,06:01:09.028,SELL,327.3,0.2999,MAKER,0.0945364411
4,06:01:09.132,BUY,326.63,0.2998,MAKER,0.094311462
4,06:01:09.132,BUY,326.63,0.2998,MAKER,0.094311462
4,06:01:10.075,BUY,326.63,0.0001,MAKER,0.0000322308
4,06:01:13.117,SELL,327.29,0.2608,MAKER,0.0842278928
5,05:34:55.053,SELL,322.77,0.2401,MAKER,0.0312971354
5,05:34:55.053,SELL,322.77,0.2401,MAKER,0.0312971354
5,05:34:55.058,SELL,322.77,0.0598,MAKER,0.007794955
5,05:34:55.058,SELL,322.77,0.0598,MAKER,0.007794955
5,05:34:56.047,SELL,322.76,0.27,MAKER,0.0351935225
5,05:34:56.048,SELL,322.76,0.0299,MAKER,0.0042272523
5,05:35:00.128,BUY,322.36,0.2999,MAKER,0.0375780728
6,05:57:37.985,SELL,356.94,0.2999,MAKER,0.0742134975
6,05:57:40.125,SELL,357.18,0.0289,MAKER,0.007156426
6,05:57:40.217,SELL,357.18,0.271,MAKER,0.0671069712
6,05:57:45.071,BUY,356.48,0.2631,MAKER,0.066956552
6,05:57:45.071,BUY,356.48,0.2631,MAKER,0.066956552
6,05:58:10.925,SELL,357.43,0.2999,MAKER,0.0635711824
7,04:56:49.137,SELL,332.33,0.0569,MAKER,0.0066607425
7,04:56:49.137,SELL,332.33,0.0569,MAKER,0.0066607425
7,04:56:54.907,BUY,331.81,0.2999,MAKER,0.0319394397
7,04:56:55.094,SELL,332.41,0.1834,MAKER,0.0195674741
7,04:56:59.725,BUY,331.88,0.2999,MAKER,0.0335628641
7,04:57:07.208,BUY,331.56,0.2999,MAKER,0.0344044499
