book,time,side,price,volume,role,fee
0,16:36:07.011,BUY,294.75,0.2999,TAKER,-0.0610299833
0,16:36:26.012,SELL,294.51,0.2998,TAKER,-0.0513525216
0,16:36:26.012,SELL,294.51,0.2998,TAKER,-0.0513525216
0,16:36:44.012,BUY,294.8,0.2999,TAKER,-0.0389750287
0,16:36:45.012,SELL,294.73,0.1591,TAKER,-0.0211052827
0,16:49:48.011,BUY,296.63,0.2999,TAKER,-0.0214684986
0,16:49:48.011,BUY,296.63,0.2999,TAKER,-0.0214684986
0,16:50:06.011,SELL,296.93,0.2999,TAKER,-0.0403446412
0,16:50:07.011,BUY,297.06,0.2999,TAKER,-0.0528211523
1,16:40:55.012,SELL,374.68,0.1651,TAKER,-0.0369595541
1,16:42:32.012,BUY,374.81,0.2999,TAKER,-0.0405592076
1,16:46:58.011,SELL,372.87,0.02,TAKER,-0.0004640908
2,16:34:20.011,BUY,292.87,0.1877000003,TAKER,-0.00891938
2,16:34:20.011,BUY,292.87,0.1877000003,TAKER,-0.00891938
2,16:34:21.011,SELL,292.73,0.2998,TAKER,-0.0304146174
2,16:34:22.011,BUY,292.87,0.2999,TAKER,-0.0353761566
2,16:36:01.012,SELL,293.94,0.2998,TAKER,-0.0128895924
2,16:53:41.011,SELL,294.69,0.2999,TAKER,-0.0586180434
2,16:53:42.011,BUY,294.81,0.0713,TAKER,-0.0144300244
2,16:53:43.011,SELL,294.69,0.2999,TAKER,-0.0640216669
2,16:53:44.011,BUY,294.81,0.2999,TAKER,-0.0599408499
3,16:47:14.011,BUY,298.39,0.25,TAKER,-0.0828957267
3,16:47:15.011,SELL,297.75,0.1038,TAKER,-0.0344649972
3,16:47:18.012,BUY,297.89,0.2999,TAKER,-0.1104466262
3,16:47:30.011,SELL,297.67,0.2999,TAKER,-0.0919170876
3,16:48:03.011,BUY,297.82,0.2999,TAKER,-0.1296267304
3,16:48:04.014,BUY,298.54,0.2999,TAKER,-0.1268039993
3,16:48:04.014,BUY,298.54,0.2999,TAKER,-0.1268039993
3,16:48:07.011,SELL,297.74,0.0679,TAKER,-0.0280387861
3,16:48:07.011,SELL,297.74,0.2319,TAKER,-0.0957618076
3,16:48:08.011,SELL,297.74,0.2999,TAKER,-0.1233546062
3,16:49:33.011,BUY,298.43,0.2998,TAKER,-0.0337915349
3,16:50:24.011,SELL,297.82,0.2999,TAKER,-0.0230923411
3,16:54:11.012,BUY,297.87,0.2999,TAKER,-0.1010761925
3,16:54:51.011,SELL,298.13,0.2999,TAKER,-0.0988648972
3,16:54:52.012,BUY,298.74,0.2999,TAKER,-0.1018573021
3,16:54:53.012,BUY,298.74,0.2999,TAKER,-0.1023104362
3,16:54:54.011,SELL,297.84,0.009925,TAKER,-0.0035315911
3,16:55:11.011,BUY,298.66,0.26,TAKER,-0.0913700631
3,16:55:23.016,SELL,297.69,0.2201,TAKER,-0.0764297548
4,16:39:28.012,SELL,298.43,0.1799,TAKER,-0.0360993281
4,16:39:28.012,SELL,298.26,0.1199,TAKER,-0.0241559773
4,16:39:29.012,BUY,298.77,0.2999,TAKER,-0.0666069499
4,16:46:03.011,SELL,298.97,0.2999,TAKER,-0.0472043846
4,16:47:03.016,SELL,298.83,0.2999,TAKER,-0.0435499826
4,16:48:57.012,BUY,299.56,0.25,TAKER,-0.0462122583
4,16:48:57.012,BUY,299.56,0.25,TAKER,-0.0462122583
4,16:50:24.011,BUY,299.44,0.2999,TAKER,-0.03519354
4,16:50:25.011,SELL,299.31,0.0498,TAKER,-0.0026284871
4,16:50:30.011,SELL,299.29,0.2999,TAKER,-0.0116659997
4,16:51:59.011,BUY,299.39,0.25,TAKER,-0.0146172178
4,16:52:00.011,BUY,299.39,0.2303,TAKER,-0.0133122667
5,16:45:49.011,SELL,306.75,0.0001,TAKER,-0.0000085833
5,16:45:50.011,BUY,306.87,0.2999,TAKER,-0.0222467222
5,16:45:50.011,BUY,306.87,0.2999,TAKER,-0.0222467222
5,16:45:51.011,BUY,306.87,0.1744,TAKER,-0.0148064747
5,16:46:03.011,SELL,306.85,0.2998,TAKER,-0.0141457487
5,16:49:15.012,BUY,307.29,0.2999,TAKER,-0.0212387744
