book,time,side,price,volume,role,fee
0,08:09:46.021,BUY,334.92,0.0499,TAKER,-0.0014994275
0,08:09:58.020,SELL,334.56,0.2999,TAKER,-0.0014084003
0,08:10:05.018,BUY,334.83,0.26,TAKER,-0.0228812883
0,08:10:07.037,SELL,334.25,0.2999,TAKER,-0.026328008
0,08:10:14.020,BUY,334.86,0.0499,TAKER,-0.0056516491
0,08:10:16.019,SELL,334.25,0.2999,TAKER,-0.0371177647
0,08:10:35.020,BUY,334.82,0.0499,TAKER,-0.0066393125
0,08:10:42.020,SELL,334.17,0.0499,TAKER,-0.0065997358
0,08:10:42.020,SELL,334.17,0.25,TAKER,-0.0330648359
0,08:10:46.037,BUY,334.81,0.2999,TAKER,-0.0398280461
0,08:10:53.045,SELL,334.16,0.25,TAKER,-0.0317755339
0,08:11:05.019,BUY,334.16,0.0497,TAKER,-0.00598309
0,08:11:35.017,BUY,334.74,0.2149,TAKER,-0.011227917
0,08:11:36.059,SELL,334.07,0.2999,TAKER,-0.0156676325
0,08:11:39.036,BUY,334.73,0.1502,TAKER,-0.0078617165
0,08:12:05.035,BUY,334.51,0.2999,TAKER,-0.0386657763
0,08:12:09.064,SELL,333.85,0.1576369998,TAKER,-0.0198426824
0,08:12:14.057,BUY,334.5,0.2251,TAKER,-0.0280801849
0,08:12:30.041,SELL,333.82,0.069825,TAKER,-0.0137056441
0,08:12:32.025,BUY,334.47,0.0998,TAKER,-0.0206331886
0,08:12:51.018,BUY,334.43,0.2999,TAKER,-0.0599215762
0,08:12:56.027,SELL,333.77,0.0499,TAKER,-0.0109583615
0,08:13:03.083,BUY,334.41,0.27,TAKER,-0.0588505409
0,08:13:03.083,BUY,334.41,0.0299,TAKER,-0.0065171111
0,08:13:28.019,SELL,333.75,0.0890625002,TAKER,-0.0175604234
0,08:13:31.025,BUY,334.37,0.0247,TAKER,-0.0048761197
0,08:13:33.046,SELL,333.75,0.0851,TAKER,-0.0167454208
0,08:13:40.018,BUY,334.37,0.1855699998,TAKER,-0.0258832909
0,08:13:42.034,SELL,333.75,0.2409875,TAKER,-0.0335520045
0,08:13:49.064,BUY,334.37,0.2348,TAKER,-0.0327278081
0,08:13:51.018,SELL,333.75,0.2999,TAKER,-0.0417356341
0,08:13:51.018,SELL,333.75,0.2999,TAKER,-0.0417356341
0,08:13:54.017,BUY,334.37,0.1541,TAKER,-0.0215455396
0,08:13:54.017,BUY,334.37,0.1458,TAKER,-0.0203850158
0,08:13:56.021,SELL,333.75,0.2999,TAKER,-0.0424740858
0,08:14:19.019,BUY,334.37,0.146,TAKER,-0.0176167086
0,08:14:24.072,SELL,333.73,0.0753,TAKER,-0.0089988396
0,08:14:26.137,BUY,334.37,0.2999,TAKER,-0.0361169767
0,08:14:40.020,SELL,333.75,0.2999,TAKER,-0.0428852182
0,08:14:42.018,BUY,334.37,0.24,TAKER,-0.0343743968
0,08:14:51.052,SELL,333.75,0.2999,TAKER,-0.0428033454
0,08:15:01.026,BUY,334.3,0.2999,TAKER,-0.0421251203
0,08:15:10.049,SELL,333.74,0.25,TAKER,-0.0347785723
0,08:15:17.033,BUY,334.35,0.25,TAKER,-0.0463708028
0,08:15:20.031,SELL,333.57,0.2999,TAKER,-0.0716254564
0,08:15:29.015,BUY,334.22,0.1001,TAKER,-0.0243917159
0,08:15:43.032,SELL,333.39,0.0484,TAKER,-0.014782371
0,08:15:50.029,BUY,334.05,0.1496,TAKER,-0.0540508725
0,08:16:04.091,SELL,333.23,0.2998,TAKER,-0.0878573139
0,08:16:13.018,BUY,333.87,0.2999,TAKER,-0.0847763026
0,08:16:29.099,SELL,333.06,0.2999,TAKER,-0.0754178466
0,08:16:34.018,BUY,333.72,0.1003,TAKER,-0.0251972884
0,08:16:43.018,SELL,333.06,0.0682,TAKER,-0.0158632671
0,08:16:57.082,BUY,333.87,0.1502,TAKER,-0.0280049579
0,08:17:06.020,SELL,333.19,0.2999,TAKER,-0.100875537
0,08:17:12.042,BUY,333.82,0.1502,TAKER,-0.0426053866
0,08:17:19.027,SELL,333.31,0.2999,TAKER,-0.1037828596
0,08:17:21.035,BUY,334.08,0.2999,TAKER,-0.1099824538
0,08:17:33.025,SELL,333.11,0.2001,TAKER,-0.0591695308
0,08:17:38.036,BUY,333.86,0.25,TAKER,-0.0921130457
0,08:17:41.058,SELL,332.98,0.2999,TAKER,-0.0732643305
0,08:17:43.019,BUY,333.62,0.2999,TAKER,-0.0750896252
0,08:17:44.068,SELL,332.85,0.2999,TAKER,-0.0752842464
0,08:17:48.023,BUY,333.35,0.0399,TAKER,-0.0101958236
0,08:18:00.019,SELL,332.66,0.0399,TAKER,-0.0115472373
0,08:18:02.022,BUY,333.31,0.0499,TAKER,-0.0144661565
0,08:18:06.018,SELL,332.62,0.2363,TAKER,-0.0603966369
0,08:18:16.038,BUY,333.25,0.0497,TAKER,-0.0156164706
0,08:18:22.025,SELL,332.56,0.0499,TAKER,-0.0127945223
0,08:18:24.091,BUY,333.2,0.0499,TAKER,-0.0149806881
0,08:18:29.024,SELL,332.55,0.1504,TAKER,-0.0482488597
0,08:18:29.024,SELL,332.55,0.1504,TAKER,-0.0482488597
0,08:18:36.036,BUY,333.4,0.1886,TAKER,-0.0579926703
0,08:18:42.035,SELL,332.67,0.2999,TAKER,-0.0966837275
0,08:18:45.050,BUY,333.32,0.2999,TAKER,-0.0858124187
0,08:19:15.022,BUY,333.25,0.1001,TAKER,-0.0264575626
0,08:19:15.022,BUY,333.25,0.1001,TAKER,-0.0264575626
0,08:19:17.019,SELL,332.58,0.0001,TAKER,-0.000026531
0,08:19:17.019,SELL,332.58,0.2998,TAKER,-0.0795401537
0,08:19:19.032,BUY,333.24,0.2999,TAKER,-0.0807302492
0,08:19:36.032,SELL,332.56,0.2999,TAKER,-0.0762032698
0,08:19:56.030,SELL,332.47,0.0317,TAKER,-0.0094213797
0,08:20:03.040,BUY,333.12,0.2999,TAKER,-0.080082716
0,08:20:10.022,SELL,332.44,0.26,TAKER,-0.0567899618
0,08:20:15.059,BUY,333.06,0.2999,TAKER,-0.0678987927
0,08:20:24.034,SELL,332.43,0.2999,TAKER,-0.0739523076
0,08:20:26.036,BUY,333.07,0.2999,TAKER,-0.0744363902
0,08:20:33.037,SELL,332.38,0.2999,TAKER,-0.0974270011
0,08:20:33.037,SELL,332.38,0.2999,TAKER,-0.0974270011
0,08:20:54.018,BUY,332.98,0.2999,TAKER,-0.0616142956
0,08:21:01.015,SELL,332.33,0.1322,TAKER,-0.0339581396
0,08:21:01.015,SELL,332.33,0.1677,TAKER,-0.0431754323
0,08:21:03.019,BUY,332.98,0.2103,TAKER,-0.0528944833
0,08:21:12.023,SELL,332.31,0.2495,TAKER,-0.0535226758
0,08:21:12.023,SELL,332.31,0.2495,TAKER,-0.0535226758
0,08:21:16.051,BUY,332.31,0.2999,TAKER,-0.0631066037
0,08:21:39.042,BUY,332.81,0.2746,TAKER,-0.0850559181
0,08:21:41.095,SELL,332.16,0.1897,TAKER,-0.0570784463
0,08:21:48.039,BUY,332.64,0.2999,TAKER,-0.0982422921
0,08:21:57.055,SELL,331.97,0.2848,TAKER,-0.0599424236
0,08:22:00.038,BUY,332.61,0.2999,TAKER,-0.0704289179
0,08:22:06.036,SELL,331.85,0.2999,TAKER,-0.08344712
0,08:22:11.020,BUY,332.37,0.2999,TAKER,-0.0901007605
0,08:22:20.016,SELL,331.26,0.2298,TAKER,-0.0908206363
0,08:22:26.069,BUY,332.04,0.1001,TAKER,-0.0276492105
0,08:22:31.019,SELL,331.37,0.0499,TAKER,-0.0138197173
0,08:22:31.019,SELL,331.37,0.25,TAKER,-0.0691860161
0,08:22:33.056,BUY,332.04,0.05,TAKER,-0.0109607622
0,08:22:36.021,SELL,331.11,0.2999,TAKER,-0.0908950183
0,08:22:49.021,BUY,331.91,0.2999,TAKER,-0.0923702083
0,08:22:49.021,BUY,331.91,0.2999,TAKER,-0.0923702083
0,08:22:58.055,SELL,331,0.1696,TAKER,-0.0375509625
0,08:23:07.045,BUY,331.67,0.2294,TAKER,-0.0567888938
0,08:23:21.043,SELL,331,0.1035420099,TAKER,-0.0232656515
0,08:23:35.039,BUY,331.68,0.2999,TAKER,-0.1049670758
0,08:23:53.031,BUY,331.76,0.2999,TAKER,-0.0624225051
0,08:23:58.057,SELL,331.12,0.1688,TAKER,-0.0359930631
0,08:24:11.042,BUY,331.75,0.1764,TAKER,-0.0352744639
0,08:24:20.036,SELL,331.08,0.0937,TAKER,-0.015609946
0,08:24:22.037,BUY,331.74,0.2999,TAKER,-0.0500721087
0,08:24:26.025,BUY,331.08,0.1235,TAKER,-0.0246961346
0,08:24:29.018,BUY,331.66,0.25,TAKER,-0.0352744639
0,08:24:31.021,SELL,331.74,0.0399,TAKER,-0.0068833292
0,08:24:38.026,BUY,331.67,0.2999,TAKER,-0.0261058571
0,08:24:50.043,SELL,331.06,0.2165,TAKER,-0.0194414611
0,08:24:59.044,BUY,331.69,0.1038,TAKER,-0.0097003965
0,08:25:19.020,SELL,331.05,0.0271000001,TAKER,-0.0051203325
0,08:25:26.034,BUY,331.57,0.2999,TAKER,-0.0716647231
0,08:25:28.090,SELL,330.93,0.26,TAKER,-0.0713567203
0,08:25:28.090,SELL,330.93,0.26,TAKER,-0.0713567203
0,08:25:40.048,BUY,331.57,0.25,TAKER,-0.0676133757
0,08:25:56.019,SELL,330.89,0.0001,TAKER,-0.0000344814
0,08:25:56.019,SELL,330.89,0.0001,TAKER,-0.0000344814
0,08:26:01.017,BUY,331.44,0.0499,TAKER,-0.0162152488
0,08:26:11.020,BUY,331.42,0.0752,TAKER,-0.0225724014
0,08:26:15.018,SELL,330.75,0.1503,TAKER,-0.0440901035
0,08:26:17.071,BUY,331.42,0.0001,TAKER,-0.0000293383
0,08:26:24.021,SELL,330.75,0.2999,TAKER,-0.0595825291
0,08:26:26.017,BUY,331.33,0.1939875,TAKER,-0.0386085568
0,08:26:45.017,SELL,330.74,0.26,TAKER,-0.0413677143
0,08:26:49.023,BUY,331.32,0.0399,TAKER,-0.0064019379
0,08:26:54.085,SELL,330.75,0.27,TAKER,-0.0435170309
0,08:27:17.043,BUY,331.5,0.2999,TAKER,-0.0357925087
