book,time,side,price,volume,role,fee
0,03:02:18.182,BUY,300.31,0.25,MAKER,0.024685215
0,03:04:25.061,BUY,300.37,0.25,MAKER,-0.0000958719
0,03:06:18.246,BUY,300.31,0.25,MAKER,0.0039646405
0,03:09:07.070,BUY,300.2,0.25,MAKER,0.0583275481
0,03:11:45.106,BUY,300.51,0.25,MAKER,0.008619443
0,03:15:25.276,BUY,300.87,0.0824,MAKER,0.0002680789
0,03:15:26.017,BUY,300.87,0.1676,MAKER,0.0005773247
0,03:15:45.048,BUY,300.92,0.25,MAKER,0.0068616116
0,03:16:16.050,BUY,300.99,0.1757,MAKER,0.007658737
0,03:16:45.047,BUY,300.99,0.25,MAKER,0.0014153726
0,03:20:21.045,BUY,300.81,0.126725,MAKER,0.0084665035
0,03:20:24.021,BUY,300.81,0.0842,MAKER,0.0051812766
0,03:20:29.013,BUY,300.81,0.039075,MAKER,0.0025347629
0,03:22:18.179,SELL,300.92,0.25,MAKER,0.025094473
1,03:12:24.224,SELL,310.1,0.25,MAKER,0.0141575134
1,03:12:29.024,SELL,310.13,0.25,MAKER,0.014158883
1,03:12:29.617,SELL,310.11,0.25,MAKER,0.0171439587
1,03:12:45.013,SELL,310.32,0.25,MAKER,0.0192854184
1,03:13:10.025,SELL,310.11,0.25,MAKER,0.0181173426
1,03:13:15.100,BUY,309.68,0.25,MAKER,0.0186675157
1,03:13:16.074,SELL,310.11,0.25,MAKER,0.0187030809
1,03:14:41.019,SELL,310.48,0.1900025,MAKER,0.0160684035
1,03:14:41.020,SELL,310.48,0.0599975,MAKER,0.0050739544
1,03:14:52.055,SELL,310.74,0.02,MAKER,0.0017075335
1,03:14:52.062,SELL,310.74,0.23,MAKER,0.0196366357
1,03:15:36.126,BUY,310.27,0.25,MAKER,0.0219905436
1,03:15:51.017,SELL,310.87,0.1297,MAKER,0.0115740531
1,03:15:54.019,SELL,310.87,0.0798,MAKER,0.0071211213
1,03:15:54.022,SELL,310.87,0.0405,MAKER,0.0036141029
1,03:16:12.048,BUY,310.32,0.25,MAKER,0.0225040878
1,03:16:46.036,SELL,311.16,0.25,MAKER,0.0256451054
1,03:16:55.273,BUY,310.5,0.25,MAKER,0.0263013506
1,03:17:22.028,BUY,310.32,0.25,MAKER,0.0281600948
1,03:17:22.041,SELL,311.11,0.25,MAKER,0.0289475275
1,03:17:23.084,SELL,311.18,0.25,MAKER,0.029082792
1,03:17:53.044,BUY,310.68,0.25,MAKER,0.0294523744
1,03:17:58.021,BUY,310.77,0.25,MAKER,0.0295557659
1,03:17:58.116,SELL,311.13,0.187,MAKER,0.0222538196
1,03:17:59.034,BUY,310.77,0.2229,MAKER,0.0264953844
1,03:17:59.168,SELL,311.13,0.063,MAKER,0.0074972761
1,03:18:45.051,BUY,310.77,0.25,MAKER,0.0319523282
1,03:19:07.084,BUY,310.77,0.25,MAKER,0.0319660057
1,03:19:11.798,BUY,310.81,0.25,MAKER,0.0319731915
1,03:19:17.217,BUY,310.76,0.25,MAKER,0.0363107395
1,03:19:44.039,SELL,311.38,0.1095,MAKER,0.0176739588
1,03:19:45.238,SELL,311.38,0.1405,MAKER,0.0226514729
1,03:20:04.017,SELL,311.36,0.25,MAKER,0.033633254
1,03:20:04.186,BUY,311.38,0.1095,MAKER,0.0423007622
1,03:20:06.015,SELL,311.36,0.0515,MAKER,0.0087260079
1,03:20:21.028,BUY,310.93,0.25,MAKER,0.0422685106
1,03:20:41.019,BUY,310.93,0.25,MAKER,0.0452642822
1,03:20:57.032,BUY,310.93,0.0515,MAKER,0.0186093749
1,03:20:57.032,BUY,310.93,0.25,MAKER,0.0279140624
1,03:21:07.105,BUY,311.61,0.1304,MAKER,0.0266635447
1,03:21:10.044,BUY,311.61,0.25,MAKER,0.0484484335
1,03:21:12.052,BUY,311.61,0.1096,MAKER,0.0210064858
1,03:21:12.062,BUY,311.61,0.1404,MAKER,0.0267147398
1,03:21:13.049,BUY,311.62,0.25,MAKER,0.047465106
1,03:21:22.082,BUY,311.24,0.0945,MAKER,0.0139270178
1,03:21:22.114,BUY,311.24,0.1555,MAKER,0.0229292014
1,03:21:41.048,BUY,311.67,0.25,MAKER,0.006931883
1,03:21:44.500,BUY,311.67,0.25,MAKER,0.006579002
1,03:21:57.019,SELL,311.56,0.0998,MAKER,0.047465106
1,03:21:57.087,SELL,311.56,0.1502,MAKER,0.0139270178
1,03:22:00.016,BUY,311.24,0.1242,MAKER,0.0057972494
