book,time,side,price,volume,role,fee
0,22:35:35.016,BUY,278.3,0.2999,MAKER,0.0442357161
0,22:35:36.607,SELL,278.68,0.8498,MAKER,0.1255264771
0,22:45:41.022,BUY,278.62,0.2863,MAKER,0.1190360094
0,22:45:41.022,BUY,278.62,0.2863,MAKER,0.1190360094
0,22:45:41.024,BUY,278.62,0.2999,MAKER,0.1246905316
0,22:45:41.056,BUY,278.62,1.4137,MAKER,0.588602917
0,22:58:56.326,SELL,279.25,0.0113,TAKER,-0.0015355364
0,23:04:28.132,BUY,280.37,1.35,MAKER,0.0796957841
0,23:04:35.085,SELL,280.75,0.25,MAKER,0.0148747563
0,23:04:38.215,SELL,280.75,0.3499,MAKER,0.0208640579
0,23:04:38.264,SELL,280.75,0.3499,MAKER,0.0206330677
0,23:04:38.264,SELL,280.75,0.3499,MAKER,0.0206330677
0,23:04:38.372,SELL,280.75,0.3499,MAKER,0.0206412845
0,23:04:38.372,SELL,280.75,0.3499,MAKER,0.0206412845
0,23:04:38.443,SELL,280.75,0.0503,MAKER,0.0029679529
0,23:05:41.939,BUY,280.37,0.53501839,MAKER,0.0528505123
0,23:05:44.659,SELL,280.87,0.535,MAKER,0.0533233077
0,23:06:38.651,BUY,280.37,2,MAKER,0.3326462869
0,23:06:57.204,SELL,280.87,0.03,MAKER,0.0073009987
0,23:07:00.397,SELL,280.87,0.25,MAKER,0.0611714428
0,23:07:02.199,SELL,280.87,0.4002,MAKER,0.0975537415
0,23:07:02.520,SELL,280.87,0.26,MAKER,0.0632611629
0,23:07:13.169,BUY,280.38,0.2899,MAKER,0.0742383886
0,23:07:13.282,BUY,280.38,0.2899,MAKER,0.0742383863
0,23:07:13.371,BUY,280.38,0.2899,MAKER,0.0742383839
0,23:07:13.390,BUY,280.38,0.2899,MAKER,0.0742518692
0,23:07:13.451,BUY,280.38,0.2998,MAKER,0.0768013716
0,23:07:30.813,SELL,281,1.7281,MAKER,0.4816685446
0,23:07:32.269,BUY,280.39,1.8291,MAKER,0.5784375517
0,23:07:39.157,SELL,280.81,0.25,TAKER,-0.1039663276
0,23:07:43.074,BUY,280.81,1.8004,MAKER,0.8814502921
0,23:07:43.157,BUY,280.81,0.1996,MAKER,0.0977213276
0,23:08:56.595,SELL,281.57,2,MAKER,0.3761640236
0,23:10:07.208,BUY,281.13,0.2899,MAKER,0.0777471485
0,23:10:07.334,BUY,281.13,0.2899,MAKER,0.0776866223
0,23:10:07.334,BUY,281.13,0.2899,MAKER,0.0776866223
0,23:10:07.361,BUY,281.13,0.2899,MAKER,0.077689523
0,23:10:07.432,BUY,281.13,0.2899,MAKER,0.0777525428
0,23:10:07.598,BUY,281.13,0.2899,MAKER,0.0782318564
1,22:41:03.087,SELL,306.73,0.25,TAKER,-0.0447096246
1,22:41:04.204,BUY,306.74,1.6246,MAKER,0.4121774853
1,23:05:32.661,SELL,307.17,0.5367,MAKER,0.0425979474
1,23:05:35.348,SELL,307.17,0.25,MAKER,0.0203984674
1,23:05:38.191,SELL,307.17,0.2899,MAKER,0.023852107
1,23:05:38.191,SELL,307.17,0.2899,MAKER,0.023852107
1,23:05:46.417,SELL,307.17,0.548,MAKER,0.0454288189
1,23:06:04.169,BUY,307.01,2,MAKER,0.1914010653
1,23:07:21.031,SELL,307.33,0.2999,MAKER,0.0417077622
1,23:07:21.140,SELL,307.33,0.2899,MAKER,0.0403430212
1,23:07:21.175,SELL,307.33,0.2899,MAKER,0.0403430212
1,23:07:21.284,SELL,307.33,0.2899,MAKER,0.0403336939
1,23:07:21.455,SELL,307.33,0.26,MAKER,0.0361737165
1,23:07:21.455,SELL,307.33,0.26,MAKER,0.0361737165
1,23:07:25.320,SELL,307.31,0.01,MAKER,0.0008569878
1,23:07:27.848,SELL,307.31,0.3256,MAKER,0.0279039549
2,18:05:00.048,BUY,288.68,0.7001,MAKER,0.1636466588
2,18:05:00.114,BUY,288.68,1,MAKER,0.2337475486
2,18:05:00.138,BUY,288.68,0.2998,MAKER,0.070077515
2,18:05:26.426,SELL,289.36,0.3906,MAKER,0.085124211
3,22:45:15.077,BUY,276.12,0.25,MAKER,0.0358915212
3,22:45:15.091,BUY,276.12,0.25,MAKER,0.0359000498
3,22:45:15.091,BUY,276.12,0.25,MAKER,0.0359000498
3,22:45:15.103,BUY,276.12,0.25,MAKER,0.0359165426
3,22:45:15.103,BUY,276.12,0.25,MAKER,0.0359165426
