book,time,side,price,volume,role,fee
0,08:38:54.025,BUY,293.43,0.26,TAKER,-0.0330528444
0,08:39:37.026,SELL,292.75,0.26,TAKER,-0.0040184134
0,08:41:11.025,BUY,293.22,0.26,TAKER,-0.0505635566
0,08:42:02.024,SELL,292.45,0.26,TAKER,-0.0345364846
0,08:43:17.025,BUY,292.99,0.26,TAKER,0.005472095
0,08:43:17.025,BUY,292.99,0.26,TAKER,0.005472095
0,08:44:26.025,SELL,293.09,0.26,TAKER,-0.002419416
0,08:45:35.061,BUY,293.92,0.26,TAKER,-0.0018113112
0,08:45:35.061,BUY,293.92,0.26,TAKER,-0.0018113112
0,08:46:51.028,SELL,292.93,0.1368,TAKER,-0.0085293229
0,08:47:51.065,BUY,293.43,0.01,TAKER,-0.0001527731
0,08:49:15.026,SELL,291.93,0.135,TAKER,-0.0438121679
0,08:49:58.024,BUY,292.81,0.26,TAKER,-0.0747812795
0,08:51:39.071,SELL,291.69,0.26,TAKER,-0.105603028
0,08:52:14.025,BUY,292.81,0.26,TAKER,-0.129666368
0,08:54:05.025,SELL,291.5,0.26,TAKER,-0.0997384741
0,08:54:22.068,BUY,292.62,0.26,TAKER,-0.0910783079
0,08:56:31.029,BUY,291.93,0.26,TAKER,-0.0073980556
0,08:58:46.027,BUY,292.5,0.26,TAKER,-0.0344933874
0,08:58:55.027,SELL,291.19,0.26,TAKER,-0.0515269553
0,08:58:55.027,SELL,291.19,0.26,TAKER,-0.0515269553
0,09:00:55.029,BUY,292.39,0.26,TAKER,-0.1316899054
0,09:00:55.029,BUY,292.39,0.26,TAKER,-0.1316899054
0,09:01:20.069,SELL,291.17,0.26,TAKER,-0.1232378085
0,09:03:11.029,BUY,292.05,0.26,TAKER,-0.1381756474
0,09:03:11.029,BUY,292.05,0.26,TAKER,-0.1381756474
0,09:03:46.029,SELL,291.06,0.151509999502,TAKER,-0.016843275
0,09:05:31.026,BUY,291.94,0.151509999502,TAKER,-0.0586174314
0,09:06:16.071,SELL,290.56,0.26,TAKER,-0.1328974344
