﻿﻿"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-06-19 07:03:40.000,miners,0,0,0,0,8349,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-93013,-16.2,bittensor,None,0,0,0,0,miners,79,256,-43619,-16.2,1,0,3895207,0,0,0,20260614_1422,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,105,11674,2911,10574,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,9930,-10.9,bittensor,None,None,None,274,0,miners,79,234,9930,-10.9,1,None,3272718,0,0,4.34e-14,20260614_1422,validator_metrics,1494249,382,372632,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,106,133091,62068,9084,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,6663,0.249,bittensor,None,None,None,84969,37561,miners,79,244,6663,0.249,1,None,3657009,0,0,8.72e-17,20260614_1422,validator_metrics,17035658,-6142,7944660,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,111,2136,900,8675,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11438,-10.6,bittensor,None,None,None,516,171,miners,79,240,11438,-10.6,1,None,3799396,0,0,3.83e-15,20260614_1422,validator_metrics,273416,23.3,115167,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,113,0,0,8634,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-100166,-13.5,bittensor,None,0,0,0,0,miners,79,255,-100166,-13.5,1,0,3809816,0,0,0,20260614_1422,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,142,26521,12436,8560,13.7,20.8,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11815,-5.28,bittensor,None,None,None,17884,8089,miners,79,230,11815,-5.28,1,None,3852660,17657,25922,1.5e-13,20260614_1422,validator_metrics,3394625,762,1591776,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,159,4917,1903,8802,3.37,5.61,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,2051,-7.10,bittensor,None,None,None,0,0,miners,79,241,2051,-7.10,1,None,3776819,28652,43613,8.71e-16,20260614_1422,validator_metrics,629342,52.5,243601,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,162,85006,39267,9084,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,12385,-12.4,bittensor,None,None,None,45207,18234,miners,79,223,12385,-12.4,1,None,3664455,0,0,8.62e-13,20260614_1422,validator_metrics,10880733,4281,5026235,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,17,3731,1857,8408,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11162,-12.0,bittensor,None,None,None,2105,1053,miners,79,235,11162,-12.0,1,None,3877733,0,0,2.15e-14,20260614_1422,validator_metrics,477534,137,237637,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,191,28955,13829,8341,19.7,28.5,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,9726,-8.18,bittensor,None,None,None,24523,9128,miners,79,229,9726,-8.18,1,None,3919308,19558,30728,1.94e-13,20260614_1422,validator_metrics,3706233,620,1770136,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,192,27389,12236,8669,11.5,18.8,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,12120,-14.4,bittensor,None,None,None,19561,5392,miners,79,228,12120,-14.4,1,None,3834620,28575,43850,2.21e-13,20260614_1422,validator_metrics,3505823,761,1566263,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,196,4249,1802,8338,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,6380,-8.30,bittensor,None,None,None,1254,418,miners,79,238,6380,-8.30,1,None,3901454,0,0,6.12e-15,20260614_1422,validator_metrics,543898,61.2,230610,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,203,16265,3531,11084,16.5,24.4,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,13331,-12.4,bittensor,None,None,None,10142,1529,miners,79,231,13331,-12.4,1,None,3144656,4200,6409,1.29e-13,20260614_1422,validator_metrics,2081885,1367,451979,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,208,0,0,8416,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11539,-18.1,bittensor,None,None,None,0,0,miners,79,253,11539,-18.1,1,None,3875305,0,0,0,20260614_1422,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,217,7434,3004,8983,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,9339,-11.5,bittensor,None,None,None,3621,1037,miners,79,242,9339,-11.5,1,None,3709395,0,0,4.74e-16,20260614_1422,validator_metrics,951576,-79.9,384509,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,224,6235,1159,9217,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11490,-22.1,bittensor,None,None,None,319,0,miners,79,236,11490,-22.1,1,None,3651193,0,0,2.04e-14,20260614_1422,validator_metrics,798082,440,148362,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,231,2475,1060,8270,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,10584,-9.14,bittensor,None,None,None,688,172,miners,79,239,10584,-9.14,1,None,3920355,0,0,5.47e-15,20260614_1422,validator_metrics,316833,33.4,135617,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,234,424,53.8,8303,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,8654,-5.36,bittensor,None,None,None,0,0,miners,79,249,8654,-5.36,1,None,3908945,0,0,0,20260614_1422,validator_metrics,54231,9.18,6891,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,238,7826,1358,9936,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,12983,-12.1,bittensor,None,None,None,548,0,miners,79,232,12983,-12.1,1,None,3447852,0,0,5.86e-14,20260614_1422,validator_metrics,1001706,1286,173820,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,245,7358,3671,8259,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,13370,-9.72,bittensor,None,None,None,4964,2482,miners,79,233,13370,-9.72,1,None,3922616,0,0,5.37e-14,20260614_1422,validator_metrics,941767,277,469849,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
