book,time,side,price,volume,role,fee
0,08:39:55.064,SELL,293.61,0.352475,MAKER,0.0421500104
0,08:40:29.023,BUY,292.68,0.2999,MAKER,0.0517767957
0,08:40:58.066,SELL,293.49,0.25,MAKER,0.0534155492
0,08:40:58.066,SELL,293.49,0.25,MAKER,0.0534155492
0,08:41:46.032,BUY,292.56,0.2387,MAKER,0.0508480204
0,08:41:46.037,BUY,292.56,0.1812,MAKER,0.0385993351
0,08:41:46.037,BUY,292.56,0.1812,MAKER,0.0385993351
0,08:42:49.465,SELL,293.16,0.2525,MAKER,0.0385993351
0,08:43:27.052,BUY,292.97,0.3599,MAKER,0.0141159668
0,08:43:51.074,SELL,293.22,0.0004,MAKER,0.0000139971
0,08:43:51.104,SELL,293.22,0.4,MAKER,0.0139971975
0,08:43:55.019,SELL,293.22,0.25,MAKER,0.0090402158
0,08:43:56.121,SELL,293.22,0.164999999898,MAKER,0.0059830324
0,08:44:56.006,BUY,293.08,0.2999,MAKER,0.0270554823
0,08:45:49.196,SELL,293.97,0.25,MAKER,0.0167224343
0,08:46:52.722,BUY,292.93,0.2999,MAKER,0.0398618164
0,08:47:55.383,SELL,293.43,0.3475,MAKER,0.0263501773
0,08:48:25.080,SELL,293.23,0.0428,MAKER,0.007247453
0,08:48:25.080,SELL,293.23,0.0428,MAKER,0.007247453
0,08:48:25.104,SELL,293.23,0.2072,MAKER,0.0350858008
0,08:48:52.282,BUY,292.1,0.3599,MAKER,0.1328239503
0,08:48:52.282,BUY,292.1,0.3599,MAKER,0.1328239503
0,08:50:52.106,SELL,292.81,0.375,MAKER,0.1176189896
0,08:50:57.090,SELL,292.81,0.05247499986808,MAKER,0.0164559325
0,08:52:00.259,BUY,291.68,0.2999,MAKER,0.1459868778
0,08:52:22.074,SELL,292.81,0.2675,MAKER,0.1463109449
0,08:52:22.074,SELL,292.81,0.2675,MAKER,0.1463109449
0,08:52:53.752,SELL,292.73,0.25,MAKER,0.1204841522
0,08:53:45.555,SELL,292.66,0.25,MAKER,0.0940190464
0,08:53:55.025,SELL,292.66,0.25,MAKER,0.0985707455
0,08:53:55.025,SELL,292.66,0.25,MAKER,0.0985707455
0,08:54:31.075,BUY,291.5,0.25,MAKER,0.1135839305
0,08:54:31.075,BUY,291.5,0.25,MAKER,0.1135839305
0,08:54:53.203,SELL,292.55,0.25,MAKER,0.1388595902
0,08:55:22.559,BUY,291.31,0.4199,MAKER,0.2724485475
0,08:56:12.667,SELL,292.3,0.494975,MAKER,0.2422502636
0,08:56:12.667,SELL,292.3,0.494975,MAKER,0.2422502636
0,08:56:22.293,BUY,290.93,0.25,MAKER,0.0628407182
0,08:56:57.048,SELL,291.87,0.25,MAKER,0.009812311
0,08:57:31.050,BUY,291.81,0.25,MAKER,0.0502033433
0,08:57:53.046,BUY,291.81,0.395868,MAKER,0.0824923255
0,08:59:27.803,BUY,291.18,0.25,MAKER,0.0941011991
0,08:59:38.970,SELL,292.35,0.25,MAKER,0.1025408755
0,08:59:38.970,SELL,292.35,0.25,MAKER,0.1025408755
0,08:59:56.024,SELL,292.43,0.25,MAKER,0.1191661259
0,08:59:56.024,SELL,292.43,0.25,MAKER,0.1191661259
0,09:00:29.076,SELL,292.56,0.2002,MAKER,0.1024349864
0,09:00:43.725,BUY,291.25,0.27,MAKER,0.1440577518
0,09:00:43.725,BUY,291.25,0.27,MAKER,0.1440577518
0,09:00:52.124,SELL,292.41,0.25,MAKER,0.1429490363
0,09:01:37.501,BUY,291.16,0.4199,MAKER,0.2272854006
0,09:03:27.159,SELL,292.11,0.1568,MAKER,0.0509449396
0,09:03:27.159,SELL,292.11,0.1568,MAKER,0.0509449396
0,09:03:27.160,SELL,292.11,0.0932,MAKER,0.0302810483
0,09:04:38.269,BUY,291.06,0.368877,MAKER,0.0298680825
0,09:04:56.074,SELL,291.98,0.25,MAKER,0.0566091268
0,09:05:22.106,SELL,292,0.0543,MAKER,0.0158311091
0,09:05:22.107,SELL,292,0.1957,MAKER,0.0570561338
0,09:05:33.767,BUY,290.87,0.2999,MAKER,0.0570561338
0,09:05:59.967,SELL,291.74,0.25,MAKER,0.1078779739
0,09:05:59.967,SELL,291.74,0.25,MAKER,0.1078779739
0,09:06:24.077,SELL,291.75,0.4,MAKER,0.2495094276
0,09:06:24.101,SELL,291.75,0.062474999835430006,MAKER,0.0410789807
0,09:06:59.022,SELL,291.74,0.25,MAKER,0.1464197905
0,09:07:31.051,BUY,290.35,0.4799,MAKER,0.2986054512
0,09:07:59.079,SELL,291.48,0.0004,MAKER,0.0002316185
0,09:07:59.097,SELL,291.48,0.4,MAKER,0.2316185545
0,09:08:00.889,SELL,291.48,0.052099999843,MAKER,0.0301685092
0,09:08:55.019,BUY,290.25,0.25,MAKER,0.0964867509
0,09:08:55.022,BUY,290.25,0.2299,MAKER,0.088670789
1,08:39:51.410,BUY,300.87,0.4799,MAKER,0.1471335796
1,08:40:22.505,SELL,300.98,0.25,MAKER,0.0825749665
1,08:41:06.043,BUY,300.18,0.2999,MAKER,0.0673652493
1,08:41:06.043,BUY,300.18,0.2999,MAKER,0.0673652493
1,08:42:04.014,SELL,300.29,0.01,MAKER,0.0024896801
1,08:42:04.015,SELL,300.29,0.24,MAKER,0.0597523235
1,08:42:25.870,BUY,299.76,0.4799,MAKER,0.0174969225
1,08:42:25.870,BUY,299.76,0.4799,MAKER,0.0174969225
1,08:43:16.387,SELL,300.6,0.25,MAKER,0.0133277913
1,08:43:27.273,BUY,300.56,0.155,MAKER,0.0160923909
1,08:43:27.273,BUY,300.56,0.155,MAKER,0.0160923909
1,08:43:27.275,BUY,300.56,0.25,MAKER,0.0259554692
1,08:43:27.578,BUY,300.56,0.0149,MAKER,0.0015666117
1,08:43:52.667,SELL,300.35,0.25,MAKER,0.0480856381
1,08:44:24.056,SELL,300.68,0.2525,MAKER,0.0641478837
1,08:44:29.142,SELL,300.73,0.0591,MAKER,0.01050815
1,08:44:29.157,SELL,300.73,0.1909,MAKER,0.0339425693
1,08:45:08.824,BUY,299.75,0.2942,MAKER,0.0471101636
1,08:45:17.136,BUY,299.75,0.0057,MAKER,0.0009592478
1,08:45:22.061,SELL,300.87,0.385,MAKER,0.0633197512
1,08:45:59.089,BUY,300.31,0.3599,MAKER,0.067768744
1,08:46:26.055,SELL,300.8,0.25,MAKER,0.0468731811
1,08:47:02.354,BUY,300.06,0.4199,MAKER,0.094768249
1,08:47:25.059,SELL,300.8,0.4,MAKER,0.1258481618
1,08:47:25.063,SELL,300.8,0.09247499998027,MAKER,0.0290945219
1,08:47:58.823,SELL,300.8,0.25,MAKER,0.0758136634
1,08:48:24.490,BUY,299.93,0.2999,MAKER,0.0959012788
1,08:48:58.070,SELL,300.86,0.25,MAKER,0.0920950122
1,08:49:25.891,BUY,299.68,0.25,MAKER,0.0926083785
1,08:50:07.280,BUY,299.79,0.23462625,MAKER,0.0988661932
