book,time,side,price,volume,role,fee
0,07:21:56.075,BUY,308.01,0.2497,MAKER,0.1263730985
0,07:21:56.084,BUY,308.01,0.0003,MAKER,0.0001518299
0,07:21:58.054,BUY,308.04,0.25,MAKER,0.1253792328
0,07:22:44.032,BUY,308.19,0.0499,MAKER,0.0134278425
0,07:22:45.013,BUY,308.19,0.2001,MAKER,0.0538458859
0,07:22:45.013,BUY,308.19,0.2001,MAKER,0.0538458859
1,07:32:44.014,BUY,313.25,0.2499,MAKER,0.0993774627
1,07:32:44.014,BUY,313.25,0.2499,MAKER,0.0993774627
1,07:32:46.036,BUY,313.36,0.0499,MAKER,0.0165470789
1,07:32:46.060,BUY,313.36,0.2001,MAKER,0.0663541181
1,07:32:46.060,BUY,313.36,0.2001,MAKER,0.0663541181
1,07:32:48.517,BUY,313.37,0.25,MAKER,0.0854438402
1,07:32:52.036,BUY,313.43,0.25,MAKER,0.080559679
2,05:30:45.079,BUY,335.25,0.25,MAKER,0.0642124595
2,05:30:47.063,BUY,335.25,0.0498,MAKER,0.0127370866
2,05:30:47.089,BUY,335.25,0.2002,MAKER,0.0512041114
2,05:30:47.089,BUY,335.25,0.2002,MAKER,0.0512041114
2,06:08:38.186,SELL,347.54,0.25,MAKER,0.0478689478
2,06:23:19.247,BUY,331.62,0.25,MAKER,0.0434585016
3,07:03:39.276,BUY,320.12,0.1003,MAKER,0.0243664325
3,07:03:39.276,BUY,320.12,0.1003,MAKER,0.0243664325
3,07:03:41.013,BUY,320.12,0.0499,MAKER,0.0121224823
3,07:03:41.017,BUY,320.12,0.2001,MAKER,0.0486113973
3,07:03:41.017,BUY,320.12,0.2001,MAKER,0.0486113973
3,07:03:43.028,BUY,320.12,0.25,MAKER,0.0607338797
3,07:03:44.289,BUY,320.12,0.25,MAKER,0.0592003883
4,06:07:32.093,SELL,330.67,0.1869,MAKER,0.0605592573
4,06:07:33.061,SELL,330.67,0.0631,MAKER,0.0204456347
4,06:07:36.030,BUY,330.01,0.0499,MAKER,0.0161363048
4,06:07:36.115,BUY,330.01,0.0499,MAKER,0.0161363048
4,06:07:36.115,BUY,330.01,0.0499,MAKER,0.0161363048
4,06:07:36.126,BUY,330.01,0.1502,MAKER,0.0485706009
5,07:55:36.971,SELL,349.35,0.25,MAKER,0.1099694424
5,07:55:42.274,SELL,349.41,0.25,MAKER,0.1120369225
5,07:55:42.274,SELL,349.41,0.25,MAKER,0.1120369225
5,07:55:43.058,SELL,349.56,0.1495,MAKER,0.0670268416
5,07:55:47.284,SELL,349.56,0.1005,MAKER,0.0460774614
5,07:55:49.201,SELL,349.51,0.25,MAKER,0.1173293341
5,08:19:23.043,BUY,339.97,0.25,MAKER,0.0986692477
5,08:19:23.043,BUY,339.97,0.25,MAKER,0.0986692477
5,08:30:08.012,BUY,339.75,0.0499,MAKER,0.0205079266
5,08:30:08.016,BUY,339.75,0.2001,MAKER,0.0822371969
5,08:30:08.016,BUY,339.75,0.2001,MAKER,0.0822371969
5,08:54:34.036,BUY,337.69,0.25,MAKER,0.0395913377
5,08:54:39.025,BUY,337.69,0.1494,MAKER,0.0243938287
5,08:54:39.045,BUY,337.69,0.1006,MAKER,0.0164258311
5,09:03:56.018,BUY,324.52,0.25,MAKER,0.0354217259
5,09:04:09.020,BUY,324.56,0.0235,MAKER,0.0038099976
5,09:04:10.014,BUY,324.56,0.2265,MAKER,0.0367010639
5,09:04:10.014,BUY,324.56,0.2265,MAKER,0.0367010639
5,09:04:12.015,BUY,324.57,0.1092,MAKER,0.0177990927
5,09:04:12.015,BUY,324.57,0.1092,MAKER,0.0177990927
5,09:04:12.018,BUY,324.57,0.1408,MAKER,0.0229497459
5,09:04:21.507,BUY,324.58,0.25,MAKER,0.0385607426
5,09:04:21.507,BUY,324.58,0.25,MAKER,0.0385607426
5,09:08:26.084,BUY,324.13,0.25,MAKER,0.0743514034
5,09:08:58.013,BUY,324.56,0.1794,MAKER,0.0539557312
5,09:08:58.014,BUY,324.56,0.0706,MAKER,0.0212334148
5,09:09:07.056,BUY,325.42,0.0997,MAKER,0.0241261519
5,09:09:07.100,BUY,325.42,0.1503,MAKER,0.0363707185
