﻿﻿"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-06-14 11:22:13.000,miners,0,0,0,0,8611,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,216325,164,bittensor,None,0,0,0,0,miners,79,256,265719,164,1,0,3816594,0,0,0,20260606_1135,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,100,26493,5496,12620,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,40363,303,bittensor,None,None,None,21726,1019,miners,79,239,40363,303,1,None,2519478,0,0,9e-14,20260606_1135,validator_metrics,3391150,3689,703508,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,103,50333,15531,12812,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,29390,286,bittensor,None,None,None,28902,1920,miners,79,224,29390,286,1,None,2508635,0,0,1.01e-12,20260606_1135,validator_metrics,6442578,6058,1987997,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,105,25393,4632,13788,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,17778,316,bittensor,None,None,None,21761,1018,miners,79,241,17778,316,1,None,2147468,0,0,3.34e-14,20260606_1135,validator_metrics,3250328,3294,592913,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,113,0,0,8349,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,199235,112,bittensor,None,0,0,0,0,miners,79,251,199235,112,1,0,3895213,0,0,0,20260606_1135,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,123,27441,13520,8716,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,3103,120,bittensor,None,None,None,642,0,miners,79,237,3103,120,1,None,3785073,0,0,1.17e-13,20260606_1135,validator_metrics,3512425,1230,1730516,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,145,38072,8468,16497,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,30068,316,bittensor,None,None,None,27408,1404,miners,79,228,30068,316,1,None,1277416,0,0,4.31e-13,20260606_1135,validator_metrics,4873276,6531,1083850,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,149,55810,19026,12023,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,34201,302,bittensor,None,None,None,31852,2309,miners,79,222,34201,302,1,None,2763309,0,0,2.07e-12,20260606_1135,validator_metrics,7143689,8924,2435359,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,151,33524,4559,17830,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,65805,325,bittensor,None,None,None,29670,0,miners,79,225,65805,325,1,None,833501,0,0,9.99e-13,20260606_1135,validator_metrics,4291118,5337,583505,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-14 11:22:13.000,miners,0,155,28372,5190,14882,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,22638,324,bittensor,None,None,None,24087,825,miners,79,238,22638,324,1,None,1796160,0,0,9.74e-14,20260606_1135,validator_metrics,3631566,3582,664367,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
